KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
bkiGroupProjectileCVT2,[c][66CCFF]Block Group[-][/c]: RMB to Access\nMedium Gatling Turret: 20mm Rounds\nLight Cannon Turret: 35mm Cannon Rounds\n[c][FF0000]Kinetic Weapon: Low Damage vs Energy Shields[-][/c],,,,,,,,[c][66CCFF]Группа блоков[-][/c]: ПКМ для доступа\nСредняя турель Гатлинга: 20-мм патроны\nЛегкая пушечная турель: 35-мм пушечные снаряды\n[c][FF0000]Кинетическое оружие: низкий урон по энергетическим щитам[-][/c],,,,,,,,
bkiGroupRocketCVT1,[c][66CCFF]Block Group[-][/c]: RMB to Access\nLight Flak Turret: 30mm Flak Shell\nLight Missile Turret: 158mm Rolling Airframe Missile\n[c][FF0000]Explosive Weapon: Low Damage vs Energy Shields[-][/c],,,,,,,,[c][66CCFF]Группа блоков[-][/c]: ПКМ для доступа\nЛегкая зенитная турель: 30-мм зенитный снаряд\nЛегкая ракетная турель: 158-мм подвижная ракета планера\n[c][FF0000]Взрывное оружие: низкий урон по энергетическим щитам[-][/c],,,,,,,,
bkiGroupRocketCVT2,[c][66CCFF]Block Group[-][/c]: RMB to Access\nMedium Flak Turret: 40mm Flak Shell\nMedium Missile Turret: 200mm RAM Missiles\n[c][FF0000]Explosive Weapon: Low Damage vs Energy Shields[-][/c],,,,,,,,[c][66CCFF]Группа блоков[-][/c]: ПКМ для доступа\nСредняя зенитная башня: 40-мм зенитный снаряд\nСредняя ракетная башня: 200-мм ракеты RAM\n[c][FF0000]Взрывное оружие: низкий урон по энергетическим щитам[-][/c],,,,,,,,
bkiGroupLaserCVT1,[c][66CCFF]Block Group[-][/c]: RMB to Access\nLight Laser Turret: 350MW Laser Charge\nLight Plasma Turret: 45MJ Plasma Cells\n[c][FFBB00]Plasma Weapon: Medium Damage vs Energy Shields[-][/c]\n[c][00FF00]Laser Weapon: High Damage vs Energy Shields[-][/c],,,,,,,,[c][66CCFF]Группа блоков[-][/c]: ПКМ для доступа\nЛегкая лазерная турель: лазерный заряд мощностью 350 МВт\nЛегкая плазменная турель: плазменные элементы мощностью 45 МДж.\n[c][FFBB00]Плазменное оружие: средний урон против энергетических щитов[-][/c]\n[c][00FF00]Лазерное оружие: высокий урон против энергетических щитов[-][/c],,,,,,,,
bkiGroupLaserCVT2,[c][66CCFF]Block Group[-][/c]: RMB to Access\nMedium Laser Turret: 450MW Laser Charge\nMedium Plasma Turret: 90MJ Plasma Cells\n[c][FFBB00]Plasma Weapon: Medium Damage vs Energy Shields[-][/c]\n[c][00FF00]Laser Weapon: High Damage vs Energy Shields[-][/c],,,,,,,,[c][66CCFF]Группа блоков[-][/c]: ПКМ для доступа\nСредняя лазерная турель: лазерный заряд мощностью 450 МВт.\nСредняя плазменная турель: плазматические клетки 90 МДж.\n[c][FFBB00]Плазменное оружие: средний урон против энергетических щитов[-][/c]\n[c][00FF00]Лазерное оружие: высокий урон против энергетических щитов[-][/c],,,,,,,,
bkiGroupLaserBAT1,[c][66CCFF]Block Group[-][/c]: RMB to Access\nLight Laser Turret: 375MW Laser Charge\nLight Plasma Turret: 55MJ Plasma Cells\n[c][FFBB00]Plasma Weapon: Medium Damage vs Energy Shields[-][/c]\n[c][00FF00]Laser Weapon: High Damage vs Energy Shields[-][/c],,,,,,,,[c][66CCFF]Группа блоков[-][/c]: ПКМ для доступа\nЛегкая лазерная турель: лазерный заряд мощностью 375 МВт\nЛегкая плазменная турель: плазматические элементы мощностью 55 МДж.\n[c][FFBB00]Плазменное оружие: средний урон против энергетических щитов[-][/c]\n[c][00FF00]Лазерное оружие: высокий урон против энергетических щитов[-][/c],,,,,,,,
bkiGroupLaserBAT2,[c][66CCFF]Block Group[-][/c]: RMB to Access\nMedium Laser Turret: 475MW Laser Charge\nMedium Plasma Turret: 110MJ Plasma Cells\n[c][FFBB00]Plasma Weapon: Medium Damage vs Energy Shields[-][/c]\n[c][00FF00]Laser Weapon: High Damage vs Energy Shields[-][/c],,,,,,,,[c][66CCFF]Группа блоков[-][/c]: ПКМ для доступа\nСредняя лазерная турель: лазерный заряд мощностью 475 МВт.\nСредняя плазменная турель: плазматические клетки 110 МДж.\n[c][FFBB00]Плазменное оружие: средний урон против энергетических щитов[-][/c]\n[c][00FF00]Лазерное оружие: высокий урон против энергетических щитов[-][/c],,,,,,,,
bkiGroupRocketBAT1,[c][66CCFF]Block Group[-][/c]: RMB to Access\nLight Flak Turret: 30mm Flak Shell\nLight Missile Turret: 158mm Laser-Guided Missile\n[c][FF0000]Explosive Weapon: Low Damage vs Energy Shields[-][/c],,,,,,,,[c][66CCFF]Группа блоков[-][/c]: ПКМ для доступа\nЛегкая зенитная турель: 30-мм зенитный снаряд\nЛегкая ракетная турель: 158-мм ракета с лазерным наведением.\n[c][FF0000]Взрывное оружие: низкий урон по энергетическим щитам[-][/c],,,,,,,,
bkiGroupRocketBAT2,[c][66CCFF]Block Group[-][/c]: RMB to Access\nMedium Flak Turret: 40mm Flak Shell\nMedium Missile Turret: 200mm RIM-200A Missiles\n[c][FF0000]Explosive Weapon: Low Damage vs Energy Shields[-][/c],,,,,,,,[c][66CCFF]Группа блоков[-][/c]: ПКМ для доступа\nСредняя зенитная башня: 40-мм зенитный снаряд\nСредняя ракетная башня: 200-мм ракеты RIM-200A.\n[c][FF0000]Взрывное оружие: низкий урон по энергетическим щитам[-][/c],,,,,,,,
bkiGroupArtillery,[c][66CCFF]Block Group[-][/c]: RMB to Access\nArtillery Turret: 155mm Artillery Shell\nPlasma Artillery Turrets: 155mm Plasma Artillery Shell\n[c][FF0000]Explosive Weapon: Low Damage vs Energy Shields[-][/c]\n[c][00FF00]Plasma-Kinetic Weapon: Medium Damage vs Energy Shields[-][/c],,,,,,,,[c][66CCFF]Группа блоков[-][/c]: ПКМ для доступа\nАртиллерийская башня: 155-мм артиллерийский снаряд.\nПлазменные артиллерийские турели: 155-мм плазменный артиллерийский снаряд.\n[c][FF0000]Взрывное оружие: низкий урон по энергетическим щитам[-][/c]\n[c][00FF00]Плазменно-кинетическое оружие: средний урон против энергетических щитов[-][/c],,,,,,,,
bkiTurretZiraxLaser,An Imperial Laser Turret of Ziraxian Manufacture. The internal components are completely different from anything used by the UCH and procuring ammunition will be difficult.\n[c][FFBB00]Can be used in both Space and Atmosphere[-][/c]\n[c][00FF00]High Damage vs Energy Shields[-][/c],,,,,,,,"Имперская лазерная турель зираксианского производства. Внутренние компоненты полностью отличаются от всего, что используется в ЦЭКБС, и закупка боеприпасов будет затруднена.\n[c][FFBB00]Может использоваться как в космосе, так и в атмосфере.[-][/c]\n[c][00FF00]Высокий урон против энергетических щитов[-][/c]",,,,,,,,
bkiTurretZiraxPlasma,An Imperial Plasma Turret of Ziraxian Manufacture. The internal components are completely different from anything used by the UCH and procuring ammunition will be difficult.\n[c][FFBB00]Can be used in both Space and Atmosphere[-][/c]\n[c][FFBB00]Medium Damage vs Energy Shields[-][/c],,,,,,,,"Имперская плазменная турель зираксианского производства. Внутренние компоненты полностью отличаются от всего, что используется в ЦЭКБС, и закупка боеприпасов будет затруднена.\n[c][FFBB00]Может использоваться как в космосе, так и в атмосфере.[-][/c]\n[c][FFBB00]Средний урон против энергетических щитов[-][/c]",,,,,,,,
bkiTurretZiraxRocket,An Imperial Missile Turret of Ziraxian Manufacture. The targeting apparatus and launching mechanism are completely different from anything used by the UCH and procuring missiles will be difficult.\n[c][FFBB00]Can be used in both Space and Atmosphere[-][/c]\n[c][FF0000]Low Damage vs Energy Shields[-][/c],,,,,,,,"Имперская ракетная турель зираксианского производства. Аппаратура наведения и пусковой механизм полностью отличаются от всего, что используется в ЦЭКБ, и закупка ракет будет затруднена.\n[c][FFBB00]Может использоваться как в космосе, так и в атмосфере.[-][/c]\n[c][FF0000]Низкий урон против энергетических щитов[-][/c]",,,,,,,,
bkiWeaponSVGatlingT1,"A lightweight vehicle-mounted rotary cannon that can fire 12.7x99mm (.50 BMG) rounds in rapid succession for anti-aircraft and anti-personnel combat.\n[c][00FF00]+50% Damage vs Creatures, Troops and Drones[-][/c]\n[c][FF0000]-25% Damage vs Blocks[-][/c]\n[c][FF00FF]2,500 Shield Damage per minute[-][/c]\n[c][FF8000]20,000 Damage per minute[-][/c]","Ein am Fahrzeug montiertes rotierendes Kettengewehr, das in schneller Folge mittelkalibrige Geschosse für Flugabwehr- und Antipersonenkämpfe abfeuern kann.\n[c][00BB00]Reduzierter Schaden gegen Geschütztürme und Panzerung[-][/c]\n[ c][FF0000]Geringer Schaden gegen Energieschilde[-][/c]",Un chaingun rotatif monté sur véhicule qui peut tirer des obus de moyen calibre en succession rapide pour le combat anti-aérien et antipersonnel.\n[c][00BB00]Dégâts réduits contre les tourelles et les blindés[-][/c]\n[ c][FF0000]Faible dégâts vs Boucliers énergétiques[-][/c],Una mitragliatrice rotante montata su un veicolo che può sparare proiettili di medio calibro in rapida successione per il combattimento antiaereo e antiuomo.\n[c][00BB00]Danni ridotti contro torrette e armature[-][/c]\n[ c][FF0000]Danno basso contro gli scudi energetici[-][/c],Un chaingun giratorio montado en un vehículo que puede disparar rondas de calibre medio en rápida sucesión para el combate antiaéreo y antipersonal.\n[c][00BB00]Daños reducidos contra torretas y blindaje[-][/c]\n[c][FF0000]Daño bajo frente a escudos de energía[-][/c],,,,"Легкая поворотная пушка, установленная на транспортном средстве, которая может стрелять снарядами калибра 12,7x99 мм (.50 BMG) в быстрой последовательности для зенитного и противопехотного боя.\n[c][00FF00]+50% урона существам, войскам и дронам[-][/c]\n[c][FF0000]-25% урона по блокам[-][/c]\n[c][FF00FF]2500 урона по щиту в минуту[-][/c]\n[c][FF8000]20 000 урона в минуту[-][/c]",,,,,,,,
bkiWeaponSVGatlingT2,"A medium vehicle-mounted GAU-22/61 Equalizer-III vulcan cannon that fires 20x102mm vulcan rounds at high speed, devastating both aircraft and enemy personnel.\n[c][00FF00]+50% Damage vs Creatures, Troops and Drones[-][/c]\n[c][FF0000]-20% Damage vs Blocks[-][/c]\n[c][FF00FF]5,000 Shield Damage per minute[-][/c]\n[c][FF8000]40,000 Damage per minute[-][/c]",,,,,,,,"Установленная на автомобиле средняя вулканическая пушка GAU-22/61 Equalizer-III, стреляющая вулканическими снарядами калибра 20x102 мм на высокой скорости, уничтожающая как самолеты, так и личный состав противника.\n[c][00FF00]+50% урона существам, войскам и дронам[-][/c]\n[c][FF0000]-20% урона по блокам[-][/c]\n[c][FF00FF]5000 урона по щиту в минуту[-][/c]\n[c][FF8000]40 000 урона в минуту[-][/c]",,,,,,,,
bkiWeaponSVGatlingT3,"An oversized vehicle-mounted GAU-8/E Avenger heavy vulcan cannon that fires 30x173mm HE-Frag rounds at high speed leaving a swath of death and destruction in it's wake.\n[c][00FF00]Explosive Projectiles\n+50% Damage vs Creatures, Troops and Drones[-][/c]\n[c][FF0000]-15% Damage vs Blocks[-][/c]\n[c][FF00FF]10,000 Shield Damage per minute[-][/c]\n[c][FF8000]80,000 Damage per minute[-][/c]",,,,,,,,"Огромная установленная на автомобиле тяжелая вулканическая пушка GAU-8/E Avenger, стреляющая осколочно-фугасными снарядами калибра 30x173 мм на высокой скорости, оставляющая за собой ряды смерти и разрушений.\n[c][00FF00]Взрывные снаряды\n+50% урона существам, войскам и дронам[-][/c]\n[c][FF0000]-15% урона по блокам[-][/c]\n[c][FF00FF]10 000 урона по щиту в минуту[-][/c]\n[c][FF8000]80 000 урона в минуту[-][/c]",,,,,,,,
bkiWeaponHVCannonT1,"A Light vehicle-mounted 30mm autocannon based on the Bushmaster-II that fires 30x113mm explosive rounds in rapid succession.\n[c][00FF00]+33% Impact Damage vs Weapons, Turrets and Concrete[-][/c]\n[c][FF00FF]3,000 Shield Damage per minute[-][/c]\n[c][FF8000]22,500 Damage per minute[-][/c]",,,,,,,,"Легкая автомобильная 30-мм автоматическая пушка на базе Bushmaster-II, стреляющая разрывными снарядами 30x113 мм в быстрой последовательности.\n[c][00FF00]+33% урона от удара по оружию, турелям и бетону[-][/c]\n[c][FF00FF]3000 урона по щиту в минуту[-][/c]\n[c][FF8000]22500 урона в минуту[-][/c]",,,,,,,,
bkiWeaponHVCannonT2,"A Medium vehicle-mounted 35mm Cannon based on the Bushmaster-III that fires 35x228mm High-Explosive rounds in rapid succession.\n[c][00FF00]+40% Impact Damage vs Weapons, Turrets and Concrete[-][/c]\n[c][FF00FF]6,000 Shield Damage per minute[-][/c]\n[c][FF8000]45,500 Damage per minute[-][/c]",,,,,,,,"Средняя установленная на автомобиле 35-мм пушка на базе Bushmaster-III, стреляющая осколочно-фугасными снарядами 35x228 мм в быстрой последовательности.\n[c][00FF00]+40% урона от удара по оружию, турелям и бетону[-][/c]\n[c][FF00FF]6000 урона по щиту в минуту[-][/c]\n[c][FF8000]45 500 урона в минуту[-][/c]",,,,,,,,
bkiWeaponHVCannonT3,"A Heavy vehicle-mounted 120mm Main Gun based on the Rh-120 that fires 120x570mm High-Explosive Anti-Tank rounds for both long-ranged bombardment and anti-tank combat.\n[c][00FF00]+40% Impact Damage vs Weapons, Turrets and Concrete\n+50% Blast Damage vs HV/SV Armor[-][/c]\n[c][FF00FF]10,000 Shield Damage per minute[-][/c]\n[c][FF8000]80,000 Damage per minute[-][/c]",,,,,,,,"Установленное на тяжелой машине 120-мм основное орудие на базе Rh-120, стреляющее осколочно-фугасными противотанковыми снарядами 120x570 мм как для дальней бомбардировки, так и для противотанкового боя.\n[c][00FF00]+40% урона от удара по оружию, турелям и бетону\n+50% урона от взрыва по броне HV/SV[-][/c]\n[c][FF00FF]10 000 урона по щиту в минуту[-][/c]\n[c][FF8000]80 000 урона в минуту[-][/c]",,,,,,,,
bkiWeaponHVFlamethrowerT2,"A Medium vehicle-mounted chemical ignition system designed to fire a stream of thermite-laced napalm at a large area for the purpose of defoliation... supposedly.\n[c][00FF00]+50% Damage vs Wildlife and Ground Troops[-][/c]\n[c][FF0000]-75% Damage vs Non-combustible Blocks[-][/c]\n[c][FF00FF]5,000 Shield Damage per minute[-][/c]\n[c][FF8000]40,000 Damage per minute[-][/c]",,,,,,,,"Установленная на автомобиле система химического зажигания среднего размера, предназначенная для стрельбы потоком напалма с добавлением термита по большой площади с целью дефолиации... предположительно.\n[c][00FF00]+50% урона дикой природе и наземным войскам[-][/c]\n[c][FF0000]-75% урона по негорючим блокам[-][/c]\n[c][FF00FF]5000 урона по щиту в минуту[-][/c]\n[c][FF8000]40 000 урона в минуту[-][/c]",,,,,,,,
bkiWeaponSVLaserT1,"A Light fixed-mounting Directed Energy Weapon that uses a multi-phase cascade laser array to fire collimated hard light beams at a target, dealing high thermal damage.\n[c][00FF00]+50% Damage vs Xenosteel[-][/c]\n[c][FF0000]-33% Damage vs Turrets and Weapons[-][/c]\n[c][FF00FF]10,000 Shield Damage per minute[-][/c]\n[c][FF8000]20,000 Damage per minute[-][/c]",,,,,,,,"Легкое стационарное оружие направленной энергии, которое использует многофазную каскадную лазерную решетку для стрельбы коллимированными лучами жесткого света по цели, нанося высокий тепловой урон.\n[c][00FF00]+50% урона по ксеностали[-][/c]\n[c][FF0000]-33% урона турелям и оружию[-][/c]\n[c][FF00FF]10 000 урона по щиту в минуту[-][/c]\n[c][FF8000]20 000 урона в минуту[-][/c]",,,,,,,,
bkiWeaponSVLaserT2,"A Medium fixed-mounted Laser Cannon utilizing improved conductance and improved heat sinks allowing higher charge to be transferred to the array faster and more efficiently.\n[c][00FF00]+75% Damage vs Xenosteel[-][/c]\n[c][FF0000]-33% Damage vs Turrets and Weapons[-][/c]\n[c][FF00FF]20,000 Shield Damage per minute[-][/c]\n[c][FF8000]40,000 Damage per minute[-][/c]",,,,,,,,"Средняя стационарная лазерная пушка с улучшенной проводимостью и улучшенными радиаторами, позволяющими быстрее и эффективнее передавать более высокий заряд в массив.\n[c][00FF00]+75% урона по ксеностали[-][/c]\n[c][FF0000]-33% урона турелям и оружию[-][/c]\n[c][FF00FF]20 000 урона по щиту в минуту[-][/c]\n[c][FF8000]40 000 урона в минуту[-][/c]",,,,,,,,
bkiWeaponSVLaserT3,"An advanced Heavy Laser Cannon using improved superconductors that trade the efficiency and stability of pulsed emissions for an intense incandescent beam.\n[c][00FF00]+100% Damage vs Xenosteel[-][/c]\n[c][FF0000]-33% Damage vs Turrets and Weapons[-][/c]\n[c][FF00FF]40,000 Shield Damage per minute[-][/c]\n[c][FF8000]80,000 Damage per minute[-][/c]",,,,,,,,"Усовершенствованная тяжелая лазерная пушка, использующая улучшенные сверхпроводники, которые обменивают эффективность и стабильность импульсного излучения на интенсивный раскаленный луч.\n[c][00FF00]+100% урона по ксеностали[-][/c]\n[c][FF0000]-33% урона турелям и оружию[-][/c]\n[c][FF00FF]40 000 урона по щиту в минуту[-][/c]\n[c][FF8000]80 000 урона в минуту[-][/c]",,,,,,,,
bkiWeaponSVPlasmaT1,"A vehicle-mounted explosive energy weapon that uses a cascade laser array to superheat Erestrum plasma suspended in a magnetic field and launch it at a designated target.\n[c][00FF00]+5% Blast Damage vs Metal Armor Blocks[-][/c]\n[c][FF0000]Low Impact Damage[-][/c]\n[c][FF00FF]5,000 Shield Damage per minute[-][/c]\n[c][FF8000]20,000 Damage per minute[-][/c]",,,,,,,,"Установленное на транспортном средстве взрывное энергетическое оружие, использующее каскадную лазерную решетку для перегрева плазмы Эреструма, подвешенной в магнитном поле, и запуска ее по назначенной цели.\n[c][00FF00]+5% урона от взрыва по блокам металлической брони[-][/c]\n[c][FF0000]Низкий урон от удара[-][/c]\n[c][FF00FF]5000 урона по щиту в минуту[-][/c]\n[c][FF8000]20 000 урона в минуту[-][/c]",,,,,,,,
bkiWeaponSVPlasmaT2,"An improved Medium Plasma weapon with a reinforced barrel and ignition chamber to support larger, higher-temperature plasma mixtures.\n[c][00FF00]+10% Blast Damage vs Armor Blocks[-][/c]\n[c][FF0000]Low Impact Damage[-][/c]\n[c][FF00FF]10,000 Shield Damage per minute[-][/c]\n[c][FF8000]40,000 Damage per minute[-][/c]",,,,,,,,Улучшенное среднеплазменное оружие с усиленным стволом и камерой зажигания для поддержки более крупных плазменных смесей с более высокой температурой.\n[c][00FF00]+10% урона от взрыва по бронеблокам[-][/c]\n[c][FF0000]Низкий урон от удара[-][/c]\n[c][FF00FF]10 000 урона по щиту в минуту[-][/c]\n[c][FF8000]40 000 урона в минуту[-][/c],,,,,,,,
bkiWeaponSVPlasmaT3,"An advanced Heavy Plasma weapon with an armored, platinum-lined firing system to protect it from the corrosion and warping of firing unstable plasma mixes at higher velocities.\n[c][00FF00]+20% Blast Damage vs Metal Armor Blocks[-][/c]\n[c][FF0000]Low Impact Damage[-][/c]\n[c][FF00FF]20,000 Shield Damage per minute[-][/c]\n[c][FF8000]80,000 Damage per minute[-][/c]",,,,,,,,"Усовершенствованное тяжелое плазменное оружие с бронированной платиновой системой стрельбы, защищающей его от коррозии и деформации при стрельбе нестабильными плазменными смесями на более высоких скоростях.\n[c][00FF00]+20% урона от взрыва по блокам металлической брони[-][/c]\n[c][FF0000]Низкий урон от удара[-][/c]\n[c][FF00FF]20 000 урона по щиту в минуту[-][/c]\n[c][FF8000]80 000 урона в минуту[-][/c]",,,,,,,,
bkiWeaponSVRailgunT1,"A vehicle-mounted kinetic weapon that uses electromagnetically charged rails to propel a heavy metal slug at high-velocity towards a target.\n[c][00FF00]+25% Impact Damage vs Metal Armor Blocks[-][/c]\n[c][FF00FF]2,800 Shield Damage per minute[-][/c]\n[c][FF8000]20,000 Damage per minute[-][/c]",,,,,,,,"Кинетическое оружие, установленное на транспортном средстве, которое использует электромагнитно заряженные рельсы для продвижения пули из тяжелого металла на высокой скорости к цели.\n[c][00FF00]+25% урона от удара по блокам металлической брони[-][/c]\n[c][FF00FF]2800 урона по щиту в минуту[-][/c]\n[c][FF8000]20 000 урона в минуту[-][/c]",,,,,,,,
bkiWeaponSVRailgunT2,"An improved Medium Railgun with a reinforced barrel that prevents warping from the higher magnetic forces being used to launch heavier slugs.\n[c][00FF00]+25% Impact Damage vs Metal Armor Blocks[-][/c]\n[c][FF00FF]5,700 Shield Damage per minute[-][/c]\n[c][FF8000]40,000 Damage per minute[-][/c]",,,,,,,,"Улучшенный средний рельсотрон с усиленным стволом, который предотвращает деформацию из-за более высоких магнитных сил, используемых для запуска более тяжелых снарядов.\n[c][00FF00]+25% урона от удара по блокам металлической брони[-][/c]\n[c][FF00FF]5700 урона по щиту в минуту[-][/c]\n[c][FF8000]40 000 урона в минуту[-][/c]",,,,,,,,
bkiWeaponSVRailgunT3,"An advanced Heavy Railgun with an armored barrel and superconducting capacitor rings to propel heavy projectiles at velocities so fast they vaporize against the target in an explosion.\n[c][00FF00]+25% Impact Damage vs Metal Armor Blocks\nHull-Damaging Explosive Impacts[-][/c]\n[c][FF00FF]10,000 Shield Damage per minute[-][/c]\n[c][FF8000]80,000 Damage per minute[-][/c]",,,,,,,,"Усовершенствованный тяжелый рельсотрон с бронированным стволом и кольцами сверхпроводящего конденсатора, позволяющий запускать тяжелые снаряды с такой скоростью, что они испаряются от цели при взрыве.\n[c][00FF00]+25% урона от удара по блокам металлической брони\nВзрывные воздействия, повреждающие корпус[-][/c]\n[c][FF00FF]10 000 урона по щиту в минуту[-][/c]\n[c][FF8000]80 000 урона в минуту[-][/c]",,,,,,,,
bkiWeaponSVRocketLauncherT1,"A lightweight missile pylon with a comparatively small capacity, made up for with the highest damage per shot coupled with the fastest rate of fire. Ideal for hit and run.\n[c][FFFFFF]RMB to select Variants[-][/c]\n[c][00FF00]+200% Impact Damage vs Entities\n+25% Blast Damage vs Turrets and Weapons[-][/c]\n[c][FF0000]+100% Reload Time[-][/c]\n[c][FF00FF]2,500 Shield Damage per minute[-][/c]\n[c][FF8000]20,000 Damage per minute[-][/c]",,,,,,,,"Легкий ракетный пилон сравнительно небольшой грузоподъемности, компенсируемый наибольшим уроном за выстрел в сочетании с высочайшей скорострельностью. Идеально подходит для ударов и бега.\n[c][FFFFFF]ПКМ для выбора вариантов.[-][/c]\n[c][00FF00]+200% урона от удара по сущностям\n+25% урона от взрыва по турелям и оружию[-][/c]\n[c][FF0000]+100% время перезарядки[-][/c]\n[c][FF00FF]2500 урона по щиту в минуту[-][/c]\n[c][FF8000]20 000 урона в минуту[-][/c]",,,,,,,,
bkiWeaponSVRocketLauncherT2,"A Medium missile pod boasting tubes capable of launching up to ten 70mm unguided missiles in rapid succession. A full salvo to be fired in under 5 seconds.\n[c][00FF00]+200% Impact Damage vs Entities\n+25% Blast Damage vs Turrets and Weapons[-][/c]\n[c][FF0000]+100% Reload Time[-][/c]\n[c][FF00FF]5,000 Shield Damage per minute[-][/c]\n[c][FF8000]40,000 Damage per minute[-][/c]",,,,,,,,"Средняя ракетная установка с трубами, способными быстро последовательно запускать до десяти 70-мм неуправляемых ракет. Полный залп будет произведен менее чем за 5 секунд.\n[c][00FF00]+200% урона от удара по сущностям\n+25% урона от взрыва по турелям и оружию[-][/c]\n[c][FF0000]+100% время перезарядки[-][/c]\n[c][FF00FF]5000 урона по щиту в минуту[-][/c]\n[c][FF8000]40 000 урона в минуту[-][/c]",,,,,,,,
bkiWeaponSVRocketLauncherT3,"Heavy dual-missile pods capable of launching an excessive number of unguided 80mm missiles against ground-based targets in unparalleled shock-and-awe.\n[c][00FF00]+200% Impact Damage vs Entities\n+25% Blast Damage vs Turrets and Weapons[-][/c]\n[c][FF0000]+100% Reload Time[-][/c]\n[c][FF00FF]10,000 Shield Damage per minute[-][/c]\n[c][FF8000]80,000 Damage per minute[-][/c]",,,,,,,,"Тяжелые сдвоенные ракетные установки, способные запустить огромное количество неуправляемых 80-мм ракет по наземным целям, вызывая беспрецедентный шок и трепет.\n[c][00FF00]+200% урона от удара по сущностям\n+25% урона от взрыва по турелям и оружию[-][/c]\n[c][FF0000]+100% время перезарядки[-][/c]\n[c][FF00FF]10 000 урона по щиту в минуту[-][/c]\n[c][FF8000]80 000 урона в минуту[-][/c]",,,,,,,,
bkiWeaponSVRocketHomingT1,"A lightweight missile pylon capable of launching two guided missiles in rapid succession with high damage in as short a time as possible.\n[c][FFBB00]Missiles track the location your crosshairs were pointing at when the weapon is fired.[-][/c]\n[c][00FF00]500% Impact Damage vs Drones\n+50% Blast Damage vs Thrusters[-][/c]\n[c][FF00FF]2,500 Shield Damage per minute[-][/c]\n[c][FF8000]20,000 Damage per minute[-][/c]",,,,,,,,"Легкий ракетный пилон, способный произвести быстрый последовательный пуск двух управляемых ракет с высоким уроном за максимально короткое время.\n[c][FFBB00]Ракеты отслеживают место, куда указывало ваше перекрестие при выстреле.[-][/c]\n[c][00FF00]500% урона от удара по дронам\n+50% урона от взрыва по двигателям[-][/c]\n[c][FF00FF]2500 урона по щиту в минуту[-][/c]\n[c][FF8000]20 000 урона в минуту[-][/c]",,,,,,,,
bkiWeaponSVRocketHomingT2,"A reinforced Medium missile pylon capable of mounting four 180mm Hellfire-III Missiles.[c][FFBB00]Missiles track the location your crosshairs were pointing at when the weapon is fired.[-][/c]\n[c][00FF00]500% Impact Damage vs Drones\n+100% Blast Damage vs Thrusters[-][/c]\n[c][FF00FF]5,000 Shield Damage per minute[-][/c]\n[c][FF8000]40,000 Damage per minute[-][/c]",,,,,,,,"Усиленный средний ракетный пилон, на котором можно установить четыре 180-мм ракеты Hellfire-III.[c][FFBB00]Ракеты отслеживают место, куда указывало ваше перекрестие при выстреле.[-][/c]\n[c][00FF00]500% урона от удара по дронам\n+100% урона от взрыва по двигателям[-][/c]\n[c][FF00FF]5000 урона по щиту в минуту[-][/c]\n[c][FF8000]40 000 урона в минуту[-][/c]",,,,,,,,
bkiWeaponSVBombLauncherT2,"A Medium weapon pylon for mounting Mk.122 Bombs used for aerial bombardments of enemy fortification.\n[c][00FF00]+100% Blast Damage vs Concrete\n+50% Blast Damage vs Metal Hull Blocks\nNo Reload Delay[-][/c]\n[c][FF00FF]5,000 Shield Damage per minute[-][/c]\n[c][FF8000]40,000 Damage per minute[-][/c]",,,,,,,,"Средний орудийный пилон для установки бомб Mk.122, используемый для бомбардировок вражеских укреплений с воздуха.\n[c][00FF00]+100% урона от взрыва по бетону\n+50% урона от взрыва по блокам металлического корпуса\nНет задержки перезагрузки[-][/c]\n[c][FF00FF]5000 урона по щиту в минуту[-][/c]\n[c][FF8000]40 000 урона в минуту[-][/c]",,,,,,,,
bkiWeaponSVBombLauncherEMP,"A Medium weapon pylon for mounting experimental XEF-100 EMP Detonators used for disabling electronics and shields.\n[c][00FF00]No Reload Delay\n+50% Shield Damage vs CV[-][/c]\n[c][FFBB00]Low Block Damage[-][/c]\n[c][FF00FF]40,000 Shield Damage per minute[-][/c]",,,,,,,,"Средний орудийный пилон для установки экспериментальных ЭМИ-детонаторов XEF-100, используемых для отключения электроники и щитов.\n[c][00FF00]Нет задержки перезагрузки\n+50% урона щитом против CV[-][/c]\n[c][FFBB00]Низкий урон блока[-][/c]\n[c][FF00FF]40 000 урона по щиту в минуту[-][/c]",,,,,,,,
bkiWeaponSVBombLauncherBlocks,"A Medium weapon pylon for mounting different bomb types for use against enemy fortifications.\n[c][FFFFFF]RMB to Select Variant[-][/c]\n[c][00FF00]No Reload Delay\nUse RMB to select different variants[-][/c]\n[c][FF8000]40,000 Damage per minute[-][/c]",,,,,,,,"Средний орудийный пилон для установки различных типов бомб для использования против укреплений противника.\n[c][FFFFFF]ПКМ, чтобы выбрать вариант[-][/c]\n[c][00FF00]Нет задержки перезагрузки\nИспользуйте ПКМ для выбора разных вариантов.[-][/c]\n[c][FF8000]40 000 урона в минуту[-][/c]",,,,,,,,
